feature,pvalue,tstat
PARAHIPPOCAMPAL GYRUS left (gm)_fa,0.03978261373222627,-2.0880874327608963
ENTORHINAL AREA  (gm)_fa,0.018533673825133316,-2.400954629525532
CorticospinalTractLeft_fa,0.003854165017198194,2.9714013370499988
InferiorCerebellarPeduncleLeft_fa,0.003091813560296642,3.0456084739116167
CerebralPeduncleLeft_fa,0.0010457928330925208,3.3947786104510014
PosteriorLimbInternalCapsuleLeft_fa,0.006648737593211019,2.7822805810708986
FornixLeft_fa,0.03203188251673222,2.1798755788267576
GenuCorpusCallosumLeft_fa,0.049611737758434624,1.9917260408866628
SpleniumCorpusCallosumLeft_fa,0.03099173405620542,2.19363256650982
PUTAMEN left_fa,0.008723280270051276,-2.6848316088368183
GLOBUS PALLIDUS left_fa,0.02811243133943786,-2.233936327009065
MEDULLA left_fa,0.005213818242859635,2.867624947858797
INFERIOR FRONTAL GYRUS right (gm)_fa,0.04019793650960979,2.0836212267888183
CerebralPeduncleRight_fa,0.0066092715960402665,2.7843913088758945
AnteriorLimbInternalCapsuleRight_fa,0.005225450564020266,2.866850322567753
PosteriorLimbInternalCapsuleRight_fa,0.012377519532463356,2.555666966136402
FornixRight_fa,0.014494759146615183,2.4959213414558272
GenuCorpusCallosumRight_fa,0.013320087122994692,2.528016315478398
BodyCorpusCallosumRight_fa,0.027165850789394166,2.247978593423688
SpleniumCorpusCallosumRight_fa,0.023437130596224823,2.3078491279443294
Reticular formation right_fa,0.003107790610925256,-3.043886696030699
MEDULLA right_fa,0.001209911252758755,3.349203396672881
LVL_bodyRight_fa,0.047546220013366544,2.010521274012529
als,0.0,-inf
group,4.141995325030762e-15,-9.550989743240322
CINGULATE GYRUS left  (gm)_l1,0.029618903519106704,-2.2124208162642622
INFERIOR FRONTAL GYRUS left (gm)_l1,0.03385806500979324,-2.156638187767438
POSTCENTRAL GYRUS left (gm)_l1,0.007630937914928228,-2.733128886791486
PARAHIPPOCAMPAL GYRUS left (gm)_l1,0.023077649954775317,-2.3140570187963907
SUPERIOR TEMPORAL GYRUS (gm)_l1,0.005355340063400233,-2.858306691036936
INFERIOR TEMPORAL GYRUS (gm)_l1,0.005344510305677866,-2.859011711230129
MIDDLE TEMPORAL GYRUS (gm)_l1,0.04189964939852803,-2.065727609978444
INSULAR (gm)_l1,0.008276620128342712,-2.703875238442443
AMYGDALA_l1,0.0042493720153854424,-2.93814072173042
HIPPOCAMPUS_l1,0.006682321119427893,-2.78049346909875
CEREBELLUM_l1,0.049870564110696965,-1.9894181992381053
SuperiorCerebellarPeduncleLeft_l1,0.00453706315972706,-2.9156797858206804
SuperiorCoronaRadiataLeft_l1,0.02582507307580469,-2.2686229251870547
PosteriorCoronaRadiataLeft_l1,0.01228288062853181,-2.558547121454207
SuperiorLongitudinalFasciculusLeft_l1,0.0009680329934857773,-3.4187775911541536
ExternalCapsuleLeft_l1,0.005988173385859783,-2.8192251043985164
MiddleCerebellarPeduncleLeft_l1,0.047142495569798354,-2.014276307450013
RetrolenticularInternalCapsuleLeft_l1,0.020670916770509907,-2.3579722154469898
Substancia Nigra left_l1,0.009912441378707322,-2.6381468720774977
CAUDATE NUCLEUS left_l1,0.012414286358232282,-2.5545533891116747
PUTAMEN left_l1,0.009919118587805692,-2.6378994123911297
THALAMUS left_l1,0.003370903109842868,-3.016653502980631
GLOBUS PALLIDUS left_l1,0.009966307552440556,-2.636154865441168
MIDBRAIN left_l1,0.004441913352535542,-2.922959312505473
CINGULATE GYRUS right (gm)_l1,0.004230471830211373,-2.939664989456018
PARAHIPPOCAMPAL GYRUS right (gm)_l1,0.015194913500745807,-2.4778856717433215
INFERIOR TEMPORAL GYRUS right   (gm)_l1,0.043428199008226843,-2.050180805937993
LATERAL FRONTO-ORBITAL GYRUS right   (gm)_l1,0.03172743968511327,-2.18386128121234
GYRUS RECTUS right  (gm)_l1,0.017969912074737842,-2.413026749477733
INSULAR right   (gm)_l1,0.020878027634897673,-2.3540196730316767
AMYGDALA right_l1,0.009433667998602999,-2.656296936549575
HIPPOCAMPUS right_l1,0.013450019295838557,-2.524343808534644
InferiorCerebellarPeduncleRight_l1,0.0037283570606500395,-2.9826529603137826
AnteriorCoronaRadiataRight_l1,0.048682215680389364,-2.000099843309123
CingulumRight_l1,0.022558594000502936,-2.3231731497840955
ExternalCapsuleRight_l1,0.025272682306626427,-2.277403583416769
PontineCrossingTractRight_l1,0.024419365414359226,-2.2913058226194454
FornixRight_l1,0.04661627436284667,-2.0192122253644604
CAUDATE NUCLEUS right_l1,0.048117909285635266,-2.005250397320538
PUTAMEN right_l1,0.04077221719846136,-2.077510813141304
THALAMUS right_l1,0.006520790263104105,-2.7891657159718157
MIDBRAIN right_l1,0.005033259252752757,-2.8798571715923766
Nucleus accumbens right_l1,0.0074783168169502935,-2.740372725023214
OpticTractRigh_l1,0.0453803246663028,-2.030995809371353
Hypothalamus C left_l1,0.010574700271703727,-2.6143088904589136
Hypothalamus C right_l1,0.018954522916200922,-2.3921541604081344
Hypothalamus D right_l1,0.04493255029401716,-2.0353328835786497
Hypothalamus F left_l1,0.0052811968840679405,-2.8631598991788563
Hypothalamus F right_l1,0.015540264698157153,-2.4692623548775003
LVL_bodyRight_l1,0.03962069646730677,-2.0898395365485984
LVL_temporalLeft_l1,0.04284501717035791,-2.0560559174288517
