feature,pvalue,tstat
SUPERIOR PARIETAL GYRUS left  (gm)_fa,0.022310707110264373,2.3797569234657603
SUPERIOR FRONTAL GYRUS left (gm)_fa,0.0003021577780179219,3.967065469196027
MIDDLE FRONTAL GYRUS left (gm)_fa,0.000909063243279229,3.5913215674193384
INFERIOR FRONTAL GYRUS left (gm)_fa,0.00021755710111770517,4.076738061028189
PRECENTRAL GYRUS left (gm)_fa,0.0014257911838711662,3.4334778421509755
ANGULAR GYRUS left (gm)_fa,0.030851832564725814,2.240155894611629
PRE-CUNEUS left (gm)_fa,0.04121637776370391,2.1112038714931383
FUSIFORM GYRUS left  (gm)_fa,0.0001420522915431256,4.217713441215996
SUPERIOR TEMPORAL GYRUS (gm)_fa,0.002120436304752816,3.291743965003142
INFERIOR TEMPORAL GYRUS (gm)_fa,0.005664783963221582,2.92830135532472
MIDDLE TEMPORAL GYRUS (gm)_fa,0.04918263904902538,2.030326915408687
LATERAL FRONTO-ORBITAL GYRUS (gm)_fa,0.032935197280906096,2.21143057861436
SUPRAMARGINAL GYRUS (gm)_fa,0.000781500076805099,3.643731733861688
PosteriorLimbInternalCapsuleLeft_fa,0.00627251132523817,2.8894035102041045
PosteriorThalamicRadiationLeft_fa,0.0186492100412719,2.4550691567604193
AnteriorCoronaRadiataLeft_fa,0.0005899256417234591,3.7404580453332024
SuperiorCoronaRadiataLeft_fa,0.0010569359241252925,3.5387802741810597
CingulumLeft_fa,0.02187911079648899,2.3880260357183505
FornixStriaTerminalisLeft_fa,0.004424783986887839,3.0215773178062846
SuperiorLongitudinalFasciculusLeft_fa,0.0037434658647613325,3.0839372153551894
SagittalStratumLeft_fa,0.0009525699861841335,3.5750568466658637
ExternalCapsuleLeft_fa,0.004504875885219387,3.014851063869157
GenuCorpusCallosumLeft_fa,0.015591000015380609,2.5290946564432994
BodyCorpusCallosumLeft_fa,0.02573769881776233,2.318784624771366
RetrolenticularInternalCapsuleLeft_fa,0.006606413674954901,2.869508179792073
SUPERIOR PARIETAL GYRUS right (gm)_fa,0.01168866432242196,2.6458080440377447
CINGULATE GYRUS right (gm)_fa,0.028137512289288756,2.280296146715321
SUPERIOR FRONTAL GYRUS right (gm)_fa,0.0006034817286801076,3.7326784763750305
MIDDLE FRONTAL GYRUS right (gm)_fa,0.0019457267798965842,3.322669004086822
INFERIOR FRONTAL GYRUS right (gm)_fa,0.001293022798921932,3.4680042475414496
PRECENTRAL GYRUS right (gm)_fa,0.0021582122318004656,3.2853774723872045
ANGULAR GYRUS right  (gm)_fa,0.018663541250180635,2.454749110131861
PARAHIPPOCAMPAL GYRUS right (gm)_fa,0.03987111547667973,2.12619771553683
INFERIOR OCCIPITAL GYRUS right   (gm)_fa,0.009084451834436933,2.7457694578224925
SUPERIOR TEMPORAL GYRUS right   (gm)_fa,0.001493163498452385,3.4171189508774824
INFERIOR TEMPORAL GYRUS right   (gm)_fa,0.005971137671947072,2.90822975282779
