feature,pvalue,tstat
SUPERIOR PARIETAL GYRUS left  (gm)_fa,0.04125048854275436,-2.0919411313331433
CINGULATE GYRUS left  (gm)_fa,0.0406643012299439,-2.0982676134486966
SUPERIOR FRONTAL GYRUS left (gm)_fa,0.04091307692732789,-2.095573034224943
MIDDLE FRONTAL GYRUS left (gm)_fa,0.004473473290302125,-2.9694396755258117
PRECENTRAL GYRUS left (gm)_fa,0.00035384073920327093,-3.8183482691039514
POSTCENTRAL GYRUS left (gm)_fa,0.0017103691973513644,-3.3044897896685548
ANGULAR GYRUS left (gm)_fa,0.00212480113237221,-3.2305494334685108
PRE-CUNEUS left (gm)_fa,0.024794980940730182,-2.310301437094461
CUNEUS left (gm)_fa,0.019098434043888064,-2.417525273289828
SUPERIOR OCCIPITAL GYRUS left (gm)_fa,0.010164076908875608,-2.665605179692545
GYRUS RECTUS (gm)_fa,0.030304874404482422,-2.2257807234634854
AMYGDALA_fa,0.0393150153464365,-2.113137674507951
HIPPOCAMPUS_fa,0.005982986283120344,-2.8639332013075594
CEREBELLUM_fa,0.02777815488471142,-2.262685079281578
CorticospinalTractLeft_fa,0.01918114315236256,-2.4157737586535575
MedialLemniscusLeft_fa,2.840247818801063e-05,-4.581550182842624
SuperiorCerebellarPeduncleLeft_fa,0.02631061871124093,-2.285509228043462
CerebralPeduncleLeft_fa,0.027402113025416144,-2.2684296472025736
PosteriorLimbInternalCapsuleLeft_fa,0.03182956689908854,-2.2048077424829167
PosteriorThalamicRadiationLeft_fa,0.03212536160308938,-2.2008419122327565
AnteriorCoronaRadiataLeft_fa,0.008338590858559305,-2.740668754684175
SuperiorCoronaRadiataLeft_fa,0.0004855118287896834,-3.7180248188310543
PosteriorCoronaRadiataLeft_fa,0.0017376550740028495,-3.299125992389799
CingulumHippocampalLeft_fa,0.04006930300924076,-2.104771016751898
FornixLeft_fa,0.0180330729809147,-2.440718138806259
BodyCorpusCallosumLeft_fa,0.019126441873381594,-2.416931394707516
THALAMUS left_fa,0.007785355380567221,-2.766419148204587
MIDBRAIN left_fa,0.0015384446169380206,-3.340273778946869
MEDULLA left_fa,0.000788432458281452,-3.5616815268467246
SUPERIOR PARIETAL GYRUS right (gm)_fa,0.0023227876272887923,-3.1999249493992643
SUPERIOR FRONTAL GYRUS right (gm)_fa,0.0007531893254857912,-3.576570505623709
MIDDLE FRONTAL GYRUS right (gm)_fa,0.002924761939313596,-3.1199593772227208
PRECENTRAL GYRUS right (gm)_fa,1.1484079311923597e-06,-5.492151874188038
POSTCENTRAL GYRUS right (gm)_fa,0.001111209073739533,-3.448934841430491
ANGULAR GYRUS right  (gm)_fa,0.012468854017333997,-2.5867821902313892
PRE-CUNEUS right  (gm)_fa,0.014836129880025655,-2.518599587225589
CUNEUS right  (gm)_fa,0.0030913248441368888,-3.100572512844672
SUPERIOR OCCIPITAL GYRUS right  (gm)_fa,0.019117467741138688,-2.4171215972230926
ENTORHINAL AREA right  (gm)_fa,0.03730509889809026,-2.136136775122554
INFERIOR TEMPORAL GYRUS right   (gm)_fa,0.03596413708933469,-2.1520920304101505
SUPRAMARGINAL GYRUS right  (gm)_fa,0.01084148388971076,-2.640871492044525
HIPPOCAMPUS right_fa,0.0073242415367395725,-2.789204089324142
CorticospinalTractRight_fa,0.0002810655135505708,-3.8905999574552754
InferiorCerebellarPeduncleRight_fa,5.2351344559157547e-05,-4.401523946340886
MedialLemniscusRight_fa,1.1592270674681552e-07,-6.1215148664824754
SuperiorCerebellarPeduncleRight_fa,0.041184699452102645,-2.092647249497552
CerebralPeduncleRight_fa,0.008139711873611752,-2.749739427682896
AnteriorCoronaRadiataRight_fa,0.041219639290787494,-2.0922721159138007
SuperiorCoronaRadiataRight_fa,0.0001740495903759379,-4.039072934722379
