feature,pvalue,tstat
Brain-Stem,0.0022632755374381226,3.1442555145372713
Left-Amygdala,0.007768082214565891,2.7237590533537004
Left-Caudate,0.04504153127837704,2.0329065034358558
Left-Hippocampus,0.0030174481498358064,3.0496863597609773
Left-Putamen,0.01281947291817954,2.5400128165284896
Left-Thalamus-Proper,0.008218071652391745,2.703527529746897
Left-VentralDC,0.0011470131735385682,3.3606533313570996
Right-Amygdala,0.004401789786700643,2.9224714289418094
Right-Hippocampus,0.0028689971602748996,3.0664148075235236
Right-Putamen,0.015837247346120527,2.4597247103242204
Right-Thalamus-Proper,0.003177435331770508,3.032491886083558
Right-VentralDC,0.002715174500025771,3.084618593201046
als,0.0,-inf
group,6.104548610165765e-16,-9.864338307235638
G&S_cingul-Ant_x,0.0007449596509945889,3.4934708623106223
G&S_cingul-Mid-Post_x,0.0021879391639909717,3.1552632278476307
G_cingul-Post-dorsal_x,0.020413953644791396,2.3609010178787435
G_cingul-Post-ventral_x,0.005556348742300489,2.842116363016118
G_front_middle_x,0.031205743332023736,2.1891114056977963
G_insular_short_x,0.016624280377290412,2.4410539194905576
G_oc-temp_med-Lingual_x,0.018476188953311434,2.400055609449255
G_subcallosal_x,0.02709143580298853,2.24732409005288
G_temp_sup-Plan_tempo_x,0.009874110748443491,2.63684775451525
G_temporal_inf_x,0.008626191624323168,2.686032147180933
G_temporal_middle_x,0.044824153419693286,2.035017297393529
Lat_Fis-post_x,0.01070016623956999,2.6073046875053976
S_circular_insula_sup_x,0.013737008069671371,2.513949710771634
S_front_sup_x,0.020479866260652506,2.3596281717303262
S_oc-temp_med&Lingual_x,0.018901788556978313,2.391153273289875
S_orbital-H_Shaped_x,0.0009510855557082472,3.4187056207074225
S_precentral-inf-part_x,0.03251255994716425,2.172025034550111
S_precentral-sup-part_x,0.019934392495662166,2.370273229533492
S_temporal_sup_x,0.00844415798584963,2.693740502274661
G&S_cingul-Mid-Ant_y,0.004737439979774205,2.8972824131286874
G&S_cingul-Mid-Post_y,0.0012107903558199378,3.343761686100439
G_cingul-Post-dorsal_y,0.020027452747864133,2.3684389929493936
G_front_inf-Opercular_y,0.02276861994306429,2.3175353089828694
G_front_middle_y,0.016157425299632624,2.452031214145332
G_oc-temp_med-Lingual_y,0.010178620845605469,2.625705606280834
G_oc-temp_med-Parahip_y,0.006705718248514413,2.776123068284771
G_pariet_inf-Supramar_y,0.03664570261029627,2.121659637537894
G_precentral_y,0.020528644313093303,2.3586885501945063
G_rectus_y,0.013670726651776694,2.515779217584615
G_temporal_inf_y,0.004761365845356194,2.895550251906624
G_temporal_middle_y,0.0036268191957672426,2.988166532977511
S_circular_insula_inf_y,0.009560579333970398,2.6486501454372333
S_circular_insula_sup_y,0.0037029560872500547,2.98116516837546
S_front_middle_y,0.040235457947100574,2.08176554033361
S_oc-temp_lat_y,0.015341992369642902,2.471903608317506
S_oc-temp_med&Lingual_y,0.020602777750314754,2.3572642868588374
S_precentral-inf-part_y,0.007715235352008715,2.726204673005332
S_precentral-sup-part_y,0.0004802944897905386,3.6253133962277366
S_temporal_inf_y,8.762488270334198e-05,4.110699976059349
S_temporal_sup_y,0.012058469333639053,2.5629358126995676
S_temporal_transverse_y,0.024444292095939176,2.289028751149653
